watt a save,heriot watt university,0
ball is strife,university of liverpool,0
pending team name,university of lincoln,0
nice shottingham,university of nottingham,0
ysj jets,york st john university,0
team joe,durham university,0
uea macaws,university of east anglia,0
portsmouth paladins,university of portsmouth,145
warwick portsmouth paladins,university of warwick,132.5
bournemouth stars,bournemouth university,126
essex blades,university of essex,119.5
uwe seastags black,university of the west of england,115
bournemouth barracudas v2,bournemouth university,109
reading knights,university of reading,109
southampton saver menu,university of southampton,101
sussex sharks,university of sussex,101
rockenteers,university of kent,95
warwick inappropriate,university of warwick,91
royal bears,royal holloway university of london,85
brighton babes v3,university of brighton,85
bath azure,university of bath,75
exeterminators,university of exeter,75
portsmouth potatoes,university of portsmouth,75
infamous swansea,swansea university,65
aber apes,aberystwyth university,65
bath bombs,university of bath,59
cambridge ravens,university of cambridge,55
ic trees of green,imperial college london,50
uwe seastags red,university of the west of england,50
cardiff crusaders,cardiff university,44
oxford brookes vipers team 7,oxford brookes university,44
roe exodia,roehampton university,44
sussex sawsharks,university of sussex,44
kent kings,university of kent,36
soton silly sausages,university of southampton,36
chicken tikka surrey,university of surrey,36
essex soundcloud rappers,university of essex,36
hertfordshire hares,university of hertfordshire,29
portsmouth pancakes,university of portsmouth,29
ruskin ravens black,anglia ruskin university,29
bath cerulean,university of bath,27
glad i didnt go to brunel,brunel university,26
sotonsonic legends,university of southampton,26
universally challenged,university of southampton,26
warwick corner boost over ball,university of warwick,24
bunda,bournemouth university,24
coventry phoenix rl,coventry university,24
ic skies of blue,imperial college london,24
oxford brookes vipers team 6,oxford brookes university,21
warwick subsonic legends,university of warwick,21
discardiff,cardiff university,21
falmouth phoenix,fxu (falmouth & exeter student's union),21
westminster dragons,university of westminster,19
im the reason shes your exe,university of exeter,19
portsmouth pillocks,university of portsmouth,19
reading knights b,university of reading,19
surrey stags 21,university of surrey,17
the powerpuff girls,university of surrey,17
three muskenteers,university of kent,16
reading knights c,university of reading,16
bristol beests,university of bristol,15
warwick whats the magic word,university of warwick,15
bath ducks,university of bath,14
queen marys gambit,queen mary university of london,14
royal bears academy,royal holloway university of london,13
uwe seastags white,university of the west of england,13
warwick justice for smiley faces,university of warwick,12
kingston kriminals,kingston university,12
northampton gorillas,university of northampton,11
sotonstation gaming,university of southampton,11
sussex kitefins,university of sussex,10
winchester warriors,university of winchester,10
zero skill,swansea university,9
high octane,university of warwick,8
plymouth conga eels,university of plymouth,7
portsmouth parsnips,university of portsmouth,6
no u,oxford university,6
swansea value,swansea university,5
abracadabra thank god for code o conduct,university of warwick,5
bristol rocket bees,university of bristol,4
carbridge,university of cambridge,4
essex katanas,university of essex,3
ic nut,imperial college london,3
middlesex mafia green,middlesex university,2
uwe seastags blue,university of the west of england,2
valiant paladin,university of surrey,1
portsmouth prawns,university of portsmouth,1
boosted,swansea university,5
oxford brookes vipers team 1,oxford brookes university,5
uwe sea stags green,university of the west of england,4
brunel bottlers,brunel university,4
better than nothing,cardiff university,3
ruskin ravens purple,anglia ruskin university,3
ic orbitals,imperial college london,2
the swansea oblivion,swansea university,2
gsoc stirling wolves,university of stirling,1
ruskin ravens pink,anglia ruskin university,1
the trentlemen,nottingham trent university,0
trenttrebo,nottingham trent university,0
sussex threshers,university of sussex,0
bronze bois,university of leeds,0
ruskin ravens red,anglia ruskin university,0
beckett dtecs,leeds beckett university,0
roe celestia,roehampton university,0
roe celestia,roehampton university,0
